time,month,sst,year
1994-07-01,7,0.32691586,1994
1994-08-01,8,0.32602376,1994
1994-09-01,9,0.53148454,1994
1994-10-01,10,0.734221,1994
1994-11-01,11,1.056503,1994
1994-12-01,12,1.0954154,1994
1995-01-01,1,0.96262443,1995
1995-02-01,2,0.6699213,1995
1995-03-01,3,0.46930778,1995
1995-04-01,4,0.20504907,1995
1995-05-01,5,0.0034255385,1995
1995-06-01,6,-0.11033818,1995
1995-07-01,7,-0.2587008,1995
1995-08-01,8,-0.4017861,1995
1995-09-01,9,-0.65704536,1995
1995-10-01,10,-0.7683469,1995
1995-11-01,11,-0.8412759,1995
1995-12-01,12,-0.8074967,1995
1996-01-01,1,-0.7646641,1996
1996-02-01,2,-0.669466,1996
1996-03-01,3,-0.5246777,1996
1996-04-01,4,-0.39912102,1996
1996-05-01,5,-0.31132856,1996
1996-06-01,6,-0.278002,1996
1996-07-01,7,-0.23893243,1996
1996-08-01,8,-0.24259648,1996
1996-09-01,9,-0.32295027,1996
1996-10-01,10,-0.33365607,1996
1996-11-01,11,-0.40774363,1996
1996-12-01,12,-0.43599838,1996
1997-01-01,1,-0.4533388,1997
1997-02-01,2,-0.35850367,1997
1997-03-01,3,-0.15515202,1997
1997-04-01,4,0.14569432,1997
1997-05-01,5,0.5770688,1997
1997-06-01,6,1.0482044,1997
1997-07-01,7,1.4631848,1997
1997-08-01,8,1.7648032,1997
1997-09-01,9,1.9890659,1997
1997-10-01,10,2.1688623,1997
1997-11-01,11,2.273624,1997
1997-12-01,12,2.2860277,1997
1998-01-01,1,2.1149712,1998
1998-02-01,2,1.8023777,1998
1998-03-01,3,1.301333,1998
1998-04-01,4,0.88884085,1998
1998-05-01,5,0.22169575,1998
1998-06-01,6,-0.38180733,1998
1998-07-01,7,-0.9983326,1998
1998-08-01,8,-1.1241709,1998
1998-09-01,9,-1.1795672,1998
1998-10-01,10,-1.1741477,1998
1998-11-01,11,-1.3983377,1998
1998-12-01,12,-1.4889317,1998
1999-01-01,1,-1.4417434,1999
1999-02-01,2,-1.1388073,1999
1999-03-01,3,-0.89997864,1999
1999-04-01,4,-0.8039191,1999
1999-05-01,5,-0.8396158,1999
1999-06-01,6,-0.8554923,1999
1999-07-01,7,-0.9846207,1999
1999-08-01,8,-1.0069766,1999
1999-09-01,9,-1.0715194,1999
1999-10-01,10,-1.1794032,1999
1999-11-01,11,-1.381994,1999
1999-12-01,12,-1.5941639,1999
2000-01-01,1,-1.5935224,2000
2000-02-01,2,-1.4085196,2000
2000-03-01,3,-1.077402,2000
2000-04-01,4,-0.85419196,2000
2000-05-01,5,-0.6798868,2000
2000-06-01,6,-0.63227826,2000
2000-07-01,7,-0.49429354,2000
2000-08-01,8,-0.48059392,2000
2000-09-01,9,-0.48430866,2000
2000-10-01,10,-0.5972978,2000
2000-11-01,11,-0.76953363,2000
2000-12-01,12,-0.8023592,2000
2001-01-01,1,-0.72236216,2001
2001-02-01,2,-0.48158988,2001
2001-03-01,3,-0.3822742,2001
2001-04-01,4,-0.31530726,2001
2001-05-01,5,-0.2144643,2001
2001-06-01,6,-0.06491928,2001
2001-07-01,7,0.03516581,2001
2001-08-01,8,-0.02434523,2001
2001-09-01,9,-0.08744776,2001
2001-10-01,10,-0.18909422,2001
2001-11-01,11,-0.29000318,2001
2001-12-01,12,-0.2767384,2001
2002-01-01,1,-0.1327499,2002
2002-02-01,2,0.03581987,2002
2002-03-01,3,0.14071646,2002
2002-04-01,4,0.22406769,2002
2002-05-01,5,0.47740436,2002
2002-06-01,6,0.65565157,2002
2002-07-01,7,0.79176176,2002
2002-08-01,8,0.8303723,2002
2002-09-01,9,0.97496176,2002
2002-10-01,10,1.1955314,2002
2002-11-01,11,1.3603032,2002
2002-12-01,12,1.2943357,2002
2003-01-01,1,1.0563269,2003
2003-02-01,2,0.7893051,2003
2003-03-01,3,0.46981737,2003
2003-04-01,4,0.071833014,2003
2003-05-01,5,-0.1940835,2003
2003-06-01,6,-0.14097017,2003
2003-07-01,7,0.050546877,2003
2003-08-01,8,0.1902949,2003
2003-09-01,9,0.31120384,2003
2003-10-01,10,0.40605304,2003
2003-11-01,11,0.4686944,2003
2003-12-01,12,0.38411254,2003
2004-01-01,1,0.3309753,2004
2004-02-01,2,0.15841496,2004
2004-03-01,3,0.10225934,2004
2004-04-01,4,0.10279639,2004
2004-05-01,5,0.18809442,2004
2004-06-01,6,0.35704154,2004
2004-07-01,7,0.5201862,2004
2004-08-01,8,0.70506823,2004
2004-09-01,9,0.7469411,2004
2004-10-01,10,0.7595412,2004
2004-11-01,11,0.75615203,2004
2004-12-01,12,0.7336335,2004
2005-01-01,1,0.5757092,2005
2005-02-01,2,0.46113014,2005
2005-03-01,3,0.3336684,2005
2005-04-01,4,0.3657099,2005
2005-05-01,5,0.37090957,2005
2005-06-01,6,0.33916244,2005
2005-07-01,7,0.2530134,2005
2005-08-01,8,0.09726467,2005
2005-09-01,9,0.03981998,2005
2005-10-01,10,-0.12716371,2005
2005-11-01,11,-0.34734604,2005
2005-12-01,12,-0.6511757,2005
2006-01-01,1,-0.7339978,2006
2006-02-01,2,-0.6833004,2006
2006-03-01,3,-0.42954654,2006
2006-04-01,4,-0.18908684,2006
2006-05-01,5,0.099345684,2006
2006-06-01,6,0.1800377,2006
2006-07-01,7,0.2928143,2006
2006-08-01,8,0.3986555,2006
2006-09-01,9,0.61271095,2006
2006-10-01,10,0.81473106,2006
2006-11-01,11,1.0214993,2006
2006-12-01,12,1.0447738,2006
