time,month_x,sst,year_x,ElNiño,LaNiña,Neutral,year_y,month_y,precipitation,max_temp,min_temp
1986-06-01,6,-0.14507464,1986,,,-0.14507464,1986,6,0.0,28.0,16.433333333333334
1986-07-01,7,0.095072046,1986,,,0.095072046,1986,7,0.0,27.141935483870967,16.574193548387097
1986-08-01,8,0.30426693,1986,,,0.30426693,1986,8,0.0032258064516129032,28.983870967741936,17.874193548387098
1986-09-01,9,0.48662257,1986,,,0.48662257,1986,9,0.0,29.923333333333336,17.01
1986-10-01,10,0.63295966,1986,0.63295966,,,1986,10,0.0,30.480645161290322,17.4
1986-11-01,11,0.78934073,1986,0.78934073,,,1986,11,0.02666666666666667,31.07,19.063333333333333
1986-12-01,12,0.92648596,1986,0.92648596,,,1986,12,0.0032258064516129032,32.56774193548387,20.52258064516129
1987-01-01,1,0.9864415,1987,0.9864415,,,1987,1,0.3096774193548387,33.78064516129032,23.261290322580646
1987-02-01,2,1.0163125,1987,1.0163125,,,1987,2,7.278571428571428,33.21785714285714,24.260714285714283
1987-03-01,3,0.8739359,1987,0.8739359,,,1987,3,2.9741935483870967,32.961290322580645,24.53548387096774
1987-04-01,4,0.73420495,1987,0.73420495,,,1987,4,1.1133333333333333,32.53,23.483333333333334
1987-05-01,5,0.70510304,1987,0.70510304,,,1987,5,0.0,30.700000000000003,20.11935483870968
1987-06-01,6,0.8987009,1987,0.8987009,,,1987,6,0.0,28.663333333333334,19.346666666666668
1987-07-01,7,1.1709176,1987,1.1709176,,,1987,7,0.009677419354838712,28.4741935483871,19.032258064516128
1987-08-01,8,1.3199633,1987,1.3199633,,,1987,8,0.0,29.896774193548385,17.177419354838708
1987-09-01,9,1.2783451,1987,1.2783451,,,1987,9,0.0,30.696666666666665,17.86
1987-10-01,10,1.182873,1987,1.182873,,,1987,10,0.02903225806451613,30.396774193548385,18.5258064516129
1987-11-01,11,1.0024577,1987,1.0024577,,,1987,11,0.02333333333333333,32.25333333333334,18.69
1987-12-01,12,0.8889545,1987,0.8889545,,,1987,12,0.0,33.096774193548384,20.43548387096774
1988-01-01,1,0.6396327,1988,0.6396327,,,1988,1,0.3096774193548387,32.88709677419355,22.029032258064515
1988-02-01,2,0.406488,1988,,,0.406488,1988,2,0.08275862068965517,33.234482758620686,23.393103448275863
1988-03-01,3,0.013243715,1988,,,0.013243715,1988,3,0.04516129032258064,32.880645161290325,21.151612903225807
1988-04-01,4,-0.5044496,1988,,-0.5044496,,1988,4,0.6736666666666667,32.47666666666667,20.78666666666667
1988-05-01,5,-1.0899045,1988,,-1.0899045,,1988,5,0.0032258064516129032,31.025806451612905,19.358064516129033
1988-06-01,6,-1.5002365,1988,,-1.5002365,,1988,6,0.0,28.663333333333334,16.226666666666667
1988-07-01,7,-1.5393343,1988,,-1.5393343,,1988,7,0.0,28.07741935483871,15.558064516129033
1988-08-01,8,-1.3038825,1988,,-1.3038825,,1988,8,0.0,28.82903225806452,15.990322580645161
1988-09-01,9,-1.408008,1988,,-1.408008,,1988,9,0.060000000000000005,29.853333333333335,16.156666666666666
1988-10-01,10,-1.6473207,1988,,-1.6473207,,1988,10,0.0,30.69677419354839,16.85483870967742
1988-11-01,11,-2.0074644,1988,,-2.0074644,,1988,11,0.056666666666666664,31.470000000000002,18.336666666666666
1988-12-01,12,-2.007395,1988,,-2.007395,,1988,12,0.0,32.535483870967745,19.69677419354839
