,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
1999-11-30,1820.02001953125,1820.02001953125,1820.4000244140625,1790.7099609375,1798.8199462890625,0.0,
1999-12-31,1835.5699462890625,1835.5699462890625,1836.969970703125,1802.2099609375,1802.6400146484375,0.0,
2000-01-31,1822.550048828125,1822.550048828125,1832.6400146484375,1817.4300537109375,1830.3599853515625,0.0,
2000-02-29,1806.6800537109375,1806.6800537109375,1813.68994140625,1799.72998046875,1799.72998046875,0.0,
2000-03-31,1663.0699462890625,1663.0699462890625,1664.3499755859375,1654.9100341796875,1655.739990234375,0.0,
2000-04-30,1626.7099609375,1626.7099609375,1630.969970703125,1621.8900146484375,1626.6600341796875,0.0,
2000-05-31,1461.68994140625,1461.68994140625,1471.260009765625,1460.06005859375,1460.780029296875,0.0,
2000-06-30,1486.7900390625,1486.7900390625,1486.7900390625,1472.6400146484375,1479.8199462890625,0.0,
2000-07-31,1355.800048828125,1355.800048828125,1360.4300537109375,1351.5400390625,1357.2099609375,0.0,
2000-08-31,1436.9200439453125,1436.9200439453125,1446.5400390625,1435.3299560546875,1435.489990234375,0.0,
2000-09-30,1355.56005859375,1355.56005859375,1357.3199462890625,1338.97998046875,1342.0799560546875,0.0,
2000-10-31,1269.77001953125,1269.77001953125,1271.52001953125,1256.280029296875,1256.280029296875,0.0,
2000-11-30,1199.699951171875,1199.699951171875,1205.43994140625,1192.8399658203125,1205.43994140625,0.0,
2000-12-31,1208.4100341796875,1208.4100341796875,1209.8699951171875,1193.4100341796875,1194.530029296875,0.0,
2001-01-31,1280.6400146484375,1280.6400146484375,1280.6400146484375,1270.4200439453125,1271.43994140625,0.0,
2001-02-28,1291.18994140625,1291.18994140625,1293.6800537109375,1287.6600341796875,1289.9000244140625,0.0,
2001-03-31,1271.9200439453125,1271.9200439453125,1277.81005859375,1270.3199462890625,1275.8699951171875,0.0,
2001-04-30,1196.9200439453125,1196.9200439453125,1199.0699462890625,1194.2099609375,1194.2900390625,0.0,
2001-05-31,1311.5799560546875,1311.5799560546875,1315.469970703125,1306.949951171875,1315.469970703125,0.0,
