time,month,sst,ElNiño,LaNiña,Neutral
1993-06-01,6,0.5174871,0.5174871,,
1993-07-01,7,0.24596487,,,0.24596487
1993-08-01,8,0.22320227,,,0.22320227
1993-09-01,9,0.205088,,,0.205088
1993-10-01,10,0.27967408,,,0.27967408
1993-11-01,11,0.24565968,,,0.24565968
1993-12-01,12,0.1770432,,,0.1770432
1994-01-01,1,0.08907205,,,0.08907205
1994-02-01,2,0.11652748,,,0.11652748
1994-03-01,3,0.16911194,,,0.16911194
1994-04-01,4,0.26989526,,,0.26989526
1994-05-01,5,0.29341584,,,0.29341584
1994-06-01,6,0.25052333,,,0.25052333
1994-07-01,7,0.32691586,,,0.32691586
1994-08-01,8,0.32602376,,,0.32602376
1994-09-01,9,0.53148454,0.53148454,,
1994-10-01,10,0.734221,0.734221,,
1994-11-01,11,1.056503,1.056503,,
1994-12-01,12,1.0954154,1.0954154,,
1995-01-01,1,0.96262443,0.96262443,,
1995-02-01,2,0.6699213,0.6699213,,
1995-03-01,3,0.46930778,,,0.46930778
1995-04-01,4,0.20504907,,,0.20504907
1995-05-01,5,0.0034255385,,,0.0034255385
1995-06-01,6,-0.11033818,,,-0.11033818
1995-07-01,7,-0.2587008,,,-0.2587008
1995-08-01,8,-0.4017861,,,-0.4017861
1995-09-01,9,-0.65704536,,-0.65704536,
1995-10-01,10,-0.7683469,,-0.7683469,
1995-11-01,11,-0.8412759,,-0.8412759,
1995-12-01,12,-0.8074967,,-0.8074967,
1996-01-01,1,-0.7646641,,-0.7646641,
1996-02-01,2,-0.669466,,-0.669466,
1996-03-01,3,-0.5246777,,-0.5246777,
1996-04-01,4,-0.39912102,,,-0.39912102
1996-05-01,5,-0.31132856,,,-0.31132856
1996-06-01,6,-0.278002,,,-0.278002
1996-07-01,7,-0.23893243,,,-0.23893243
1996-08-01,8,-0.24259648,,,-0.24259648
1996-09-01,9,-0.32295027,,,-0.32295027
1996-10-01,10,-0.33365607,,,-0.33365607
1996-11-01,11,-0.40774363,,,-0.40774363
1996-12-01,12,-0.43599838,,,-0.43599838
1997-01-01,1,-0.4533388,,,-0.4533388
1997-02-01,2,-0.35850367,,,-0.35850367
1997-03-01,3,-0.15515202,,,-0.15515202
1997-04-01,4,0.14569432,,,0.14569432
1997-05-01,5,0.5770688,0.5770688,,
1997-06-01,6,1.0482044,1.0482044,,
1997-07-01,7,1.4631848,1.4631848,,
1997-08-01,8,1.7648032,1.7648032,,
1997-09-01,9,1.9890659,1.9890659,,
1997-10-01,10,2.1688623,2.1688623,,
1997-11-01,11,2.273624,2.273624,,
1997-12-01,12,2.2860277,2.2860277,,
1998-01-01,1,2.1149712,2.1149712,,
1998-02-01,2,1.8023777,1.8023777,,
1998-03-01,3,1.301333,1.301333,,
1998-04-01,4,0.88884085,0.88884085,,
1998-05-01,5,0.22169575,,,0.22169575
1998-06-01,6,-0.38180733,,,-0.38180733
1998-07-01,7,-0.9983326,,-0.9983326,
1998-08-01,8,-1.1241709,,-1.1241709,
1998-09-01,9,-1.1795672,,-1.1795672,
1998-10-01,10,-1.1741477,,-1.1741477,
1998-11-01,11,-1.3983377,,-1.3983377,
1998-12-01,12,-1.4889317,,-1.4889317,
1999-01-01,1,-1.4417434,,-1.4417434,
1999-02-01,2,-1.1388073,,-1.1388073,
1999-03-01,3,-0.89997864,,-0.89997864,
1999-04-01,4,-0.8039191,,-0.8039191,
1999-05-01,5,-0.8396158,,-0.8396158,
1999-06-01,6,-0.8554923,,-0.8554923,
1999-07-01,7,-0.9846207,,-0.9846207,
1999-08-01,8,-1.0069766,,-1.0069766,
1999-09-01,9,-1.0715194,,-1.0715194,
1999-10-01,10,-1.1794032,,-1.1794032,
1999-11-01,11,-1.381994,,-1.381994,
1999-12-01,12,-1.5941639,,-1.5941639,
2000-01-01,1,-1.5935224,,-1.5935224,
2000-02-01,2,-1.4085196,,-1.4085196,
2000-03-01,3,-1.077402,,-1.077402,
2000-04-01,4,-0.85419196,,-0.85419196,
2000-05-01,5,-0.6798868,,-0.6798868,
2000-06-01,6,-0.63227826,,-0.63227826,
2000-07-01,7,-0.49429354,,,-0.49429354
2000-08-01,8,-0.48059392,,,-0.48059392
2000-09-01,9,-0.48430866,,,-0.48430866
2000-10-01,10,-0.5972978,,-0.5972978,
2000-11-01,11,-0.76953363,,-0.76953363,
2000-12-01,12,-0.8023592,,-0.8023592,
2001-01-01,1,-0.72236216,,-0.72236216,
2001-02-01,2,-0.48158988,,,-0.48158988
2001-03-01,3,-0.3822742,,,-0.3822742
2001-04-01,4,-0.31530726,,,-0.31530726
2001-05-01,5,-0.2144643,,,-0.2144643
2001-06-01,6,-0.06491928,,,-0.06491928
2001-07-01,7,0.03516581,,,0.03516581
2001-08-01,8,-0.02434523,,,-0.02434523
2001-09-01,9,-0.08744776,,,-0.08744776
2001-10-01,10,-0.18909422,,,-0.18909422
2001-11-01,11,-0.29000318,,,-0.29000318
2001-12-01,12,-0.2767384,,,-0.2767384
2002-01-01,1,-0.1327499,,,-0.1327499
2002-02-01,2,0.03581987,,,0.03581987
2002-03-01,3,0.14071646,,,0.14071646
2002-04-01,4,0.22406769,,,0.22406769
2002-05-01,5,0.47740436,,,0.47740436
2002-06-01,6,0.65565157,0.65565157,,
2002-07-01,7,0.79176176,0.79176176,,
2002-08-01,8,0.8303723,0.8303723,,
2002-09-01,9,0.97496176,0.97496176,,
2002-10-01,10,1.1955314,1.1955314,,
2002-11-01,11,1.3603032,1.3603032,,
2002-12-01,12,1.2943357,1.2943357,,
2003-01-01,1,1.0563269,1.0563269,,
2003-02-01,2,0.7893051,0.7893051,,
2003-03-01,3,0.46981737,,,0.46981737
2003-04-01,4,0.071833014,,,0.071833014
2003-05-01,5,-0.1940835,,,-0.1940835
2003-06-01,6,-0.14097017,,,-0.14097017
2003-07-01,7,0.050546877,,,0.050546877
2003-08-01,8,0.1902949,,,0.1902949
2003-09-01,9,0.31120384,,,0.31120384
2003-10-01,10,0.40605304,,,0.40605304
2003-11-01,11,0.4686944,,,0.4686944
2003-12-01,12,0.38411254,,,0.38411254
2004-01-01,1,0.3309753,,,0.3309753
2004-02-01,2,0.15841496,,,0.15841496
2004-03-01,3,0.10225934,,,0.10225934
2004-04-01,4,0.10279639,,,0.10279639
2004-05-01,5,0.18809442,,,0.18809442
2004-06-01,6,0.35704154,,,0.35704154
2004-07-01,7,0.5201862,0.5201862,,
2004-08-01,8,0.70506823,0.70506823,,
2004-09-01,9,0.7469411,0.7469411,,
2004-10-01,10,0.7595412,0.7595412,,
2004-11-01,11,0.75615203,0.75615203,,
2004-12-01,12,0.7336335,0.7336335,,
2005-01-01,1,0.5757092,0.5757092,,
2005-02-01,2,0.46113014,,,0.46113014
2005-03-01,3,0.3336684,,,0.3336684
2005-04-01,4,0.3657099,,,0.3657099
2005-05-01,5,0.37090957,,,0.37090957
2005-06-01,6,0.33916244,,,0.33916244
2005-07-01,7,0.2530134,,,0.2530134
2005-08-01,8,0.09726467,,,0.09726467
2005-09-01,9,0.03981998,,,0.03981998
2005-10-01,10,-0.12716371,,,-0.12716371
2005-11-01,11,-0.34734604,,,-0.34734604
2005-12-01,12,-0.6511757,,-0.6511757,
2006-01-01,1,-0.7339978,,-0.7339978,
2006-02-01,2,-0.6833004,,-0.6833004,
2006-03-01,3,-0.42954654,,,-0.42954654
2006-04-01,4,-0.18908684,,,-0.18908684
2006-05-01,5,0.099345684,,,0.099345684
2006-06-01,6,0.1800377,,,0.1800377
2006-07-01,7,0.2928143,,,0.2928143
2006-08-01,8,0.3986555,,,0.3986555
2006-09-01,9,0.61271095,0.61271095,,
2006-10-01,10,0.81473106,0.81473106,,
2006-11-01,11,1.0214993,1.0214993,,
2006-12-01,12,1.0447738,1.0447738,,
2007-01-01,1,0.7471379,0.7471379,,
2007-02-01,2,0.34858355,,,0.34858355
2007-03-01,3,0.08739732,,,0.08739732
2007-04-01,4,-0.05775299,,,-0.05775299
2007-05-01,5,-0.051046357,,,-0.051046357
2007-06-01,6,-0.1699882,,,-0.1699882
2007-07-01,7,-0.24977985,,,-0.24977985
2007-08-01,8,-0.54663444,,-0.54663444,
2007-09-01,9,-0.819059,,-0.819059,
2007-10-01,10,-1.0705737,,-1.0705737,
2007-11-01,11,-1.1626738,,-1.1626738,
2007-12-01,12,-1.305445,,-1.305445,
2008-01-01,1,-1.3679736,,-1.3679736,
2008-02-01,2,-1.2704844,,-1.2704844,
2008-03-01,3,-0.9843979,,-0.9843979,
2008-04-01,4,-0.6733556,,-0.6733556,
2008-05-01,5,-0.5495209,,-0.5495209,
2008-06-01,6,-0.36173797,,,-0.36173797
2008-07-01,7,-0.17966491,,,-0.17966491
2008-08-01,8,-0.09371512,,,-0.09371512
2008-09-01,9,-0.08346808,,,-0.08346808
2008-10-01,10,-0.14445639,,,-0.14445639
2008-11-01,11,-0.3282846,,,-0.3282846
2008-12-01,12,-0.54408395,,-0.54408395,
2009-01-01,1,-0.66492486,,-0.66492486,
2009-02-01,2,-0.5892493,,-0.5892493,
2009-03-01,3,-0.3426051,,,-0.3426051
2009-04-01,4,-0.047759533,,,-0.047759533
2009-05-01,5,0.334447,,,0.334447
2009-06-01,6,0.5631825,0.5631825,,
2009-07-01,7,0.70701694,0.70701694,,
2009-08-01,8,0.7610027,0.7610027,,
2009-09-01,9,0.8778037,0.8778037,,
2009-10-01,10,1.1675074,1.1675074,,
2009-11-01,11,1.5108166,1.5108166,,
2009-12-01,12,1.7157501,1.7157501,,
2010-01-01,1,1.5942342,1.5942342,,
2010-02-01,2,1.4143019,1.4143019,,
2010-03-01,3,1.124247,1.124247,,
2010-04-01,4,0.7044045,0.7044045,,
2010-05-01,5,0.14728257,,,0.14728257
2010-06-01,6,-0.3870967,,,-0.3870967
2010-07-01,7,-0.7867746,,-0.7867746,
2010-08-01,8,-1.0873454,,-1.0873454,
2010-09-01,9,-1.2524767,,-1.2524767,
2010-10-01,10,-1.2871673,,-1.2871673,
2010-11-01,11,-1.2287028,,-1.2287028,
2010-12-01,12,-1.2620968,,-1.2620968,
2011-01-01,1,-1.2144796,,-1.2144796,
2011-02-01,2,-1.0792598,,-1.0792598,
2011-03-01,3,-0.8008772,,-0.8008772,
2011-04-01,4,-0.49621725,,,-0.49621725
2011-05-01,5,-0.29221892,,,-0.29221892
2011-06-01,6,-0.110729024,,,-0.110729024
2011-07-01,7,-0.14994967,,,-0.14994967
2011-08-01,8,-0.32341835,,,-0.32341835
2011-09-01,9,-0.514753,,-0.514753,
2011-10-01,10,-0.6782055,,-0.6782055,
2011-11-01,11,-0.769578,,-0.769578,
2011-12-01,12,-0.78288186,,-0.78288186,
2012-01-01,1,-0.6702907,,-0.6702907,
2012-02-01,2,-0.48058796,,,-0.48058796
2012-03-01,3,-0.38271233,,,-0.38271233
2012-04-01,4,-0.2294124,,,-0.2294124
2012-05-01,5,0.033701025,,,0.033701025
2012-06-01,6,0.29568237,,,0.29568237
2012-07-01,7,0.5700313,0.5700313,,
2012-08-01,8,0.58248925,0.58248925,,
2012-09-01,9,0.59809065,0.59809065,,
2012-10-01,10,0.5614884,0.5614884,,
2012-11-01,11,0.260475,,,0.260475
2012-12-01,12,-0.04196791,,,-0.04196791
2013-01-01,1,-0.4196131,,,-0.4196131
2013-02-01,2,-0.31484282,,,-0.31484282
2013-03-01,3,-0.072829984,,,-0.072829984
2013-04-01,4,0.02142809,,,0.02142809
2013-05-01,5,-0.000101057194,,,-0.000101057194
2013-06-01,6,-0.13962594,,,-0.13962594
2013-07-01,7,-0.2238718,,,-0.2238718
2013-08-01,8,-0.13769183,,,-0.13769183
2013-09-01,9,-0.11384066,,,-0.11384066
2013-10-01,10,0.05565083,,,0.05565083
2013-11-01,11,-0.011464765,,,-0.011464765
2013-12-01,12,-0.1417462,,,-0.1417462
2014-01-01,1,-0.4479711,,,-0.4479711
2014-02-01,2,-0.49656367,,,-0.49656367
2014-03-01,3,-0.22660968,,,-0.22660968
2014-04-01,4,0.26115978,,,0.26115978
2014-05-01,5,0.5683156,0.5683156,,
2014-06-01,6,0.47333068,,,0.47333068
2014-07-01,7,0.27842313,,,0.27842313
2014-08-01,8,0.17649631,,,0.17649631
2014-09-01,9,0.3331706,,,0.3331706
2014-10-01,10,0.6293248,0.6293248,,
2014-11-01,11,0.74730897,0.74730897,,
2014-12-01,12,0.75697994,0.75697994,,
2015-01-01,1,0.71516097,0.71516097,,
2015-02-01,2,0.6592011,0.6592011,,
2015-03-01,3,0.8039236,0.8039236,,
2015-04-01,4,0.8726387,0.8726387,,
2015-05-01,5,1.1061214,1.1061214,,
2015-06-01,6,1.2496836,1.2496836,,
2015-07-01,7,1.5059093,1.5059093,,
2015-08-01,8,1.7191601,1.7191601,,
2015-09-01,9,2.0348191,2.0348191,,
2015-10-01,10,2.4352393,2.4352393,,
2015-11-01,11,2.6537547,2.6537547,,
2015-12-01,12,2.7307343,2.7307343,,
2016-01-01,1,2.5238237,2.5238237,,
2016-02-01,2,2.2598505,2.2598505,,
2016-03-01,3,1.7698107,1.7698107,,
2016-04-01,4,1.1063181,1.1063181,,
2016-05-01,5,0.5670501,0.5670501,,
2016-06-01,6,0.06723233,,,0.06723233
2016-07-01,7,-0.20973966,,,-0.20973966
2016-08-01,8,-0.39591247,,,-0.39591247
2016-09-01,9,-0.48819694,,,-0.48819694
2016-10-01,10,-0.5029799,,-0.5029799,
2016-11-01,11,-0.45543262,,,-0.45543262
2016-12-01,12,-0.31885338,,,-0.31885338
2017-01-01,1,-0.101803645,,,-0.101803645
2017-02-01,2,0.08901193,,,0.08901193
2017-03-01,3,0.33180323,,,0.33180323
2017-04-01,4,0.47101307,,,0.47101307
2017-05-01,5,0.5616812,0.5616812,,
2017-06-01,6,0.5267228,0.5267228,,
2017-07-01,7,0.33511242,,,0.33511242
2017-08-01,8,0.049417257,,,0.049417257
2017-09-01,9,-0.18163352,,,-0.18163352
2017-10-01,10,-0.44023225,,,-0.44023225
2017-11-01,11,-0.63822526,,-0.63822526,
2017-12-01,12,-0.7603893,,-0.7603893,
2018-01-01,1,-0.71450657,,-0.71450657,
2018-02-01,2,-0.6410944,,-0.6410944,
2018-03-01,3,-0.5448625,,-0.5448625,
2018-04-01,4,-0.31839782,,,-0.31839782
2018-05-01,5,0.018770477,,,0.018770477
2018-06-01,6,0.2607235,,,0.2607235
2018-07-01,7,0.36923513,,,0.36923513
2018-08-01,8,0.38003933,,,0.38003933
2018-09-01,9,0.5921552,0.5921552,,
2018-10-01,10,0.824909,0.824909,,
2018-11-01,11,1.0327314,1.0327314,,
2018-12-01,12,0.9531069,0.9531069,,
2019-01-01,1,0.8601506,0.8601506,,
2019-02-01,2,0.8975295,0.8975295,,
2019-03-01,3,0.9457132,0.9457132,,
2019-04-01,4,0.991301,0.991301,,
2019-05-01,5,0.8837573,0.8837573,,
2019-06-01,6,0.7705598,0.7705598,,
2019-07-01,7,0.5391588,0.5391588,,
2019-08-01,8,0.2834342,,,0.2834342
2019-09-01,9,0.30991942,,,0.30991942
2019-10-01,10,0.44802284,,,0.44802284
2019-11-01,11,0.60845876,0.60845876,,
2019-12-01,12,0.5940666,0.5940666,,
2020-01-01,1,0.5180676,0.5180676,,
2020-02-01,2,0.5453559,0.5453559,,
2020-03-01,3,0.53805447,0.53805447,,
2020-04-01,4,0.37044507,,,0.37044507
2020-05-01,5,0.1359931,,,0.1359931
2020-06-01,6,-0.065386236,,,-0.065386236
2020-07-01,7,-0.19704768,,,-0.19704768
2020-08-01,8,-0.3664707,,,-0.3664707
2020-09-01,9,-0.7100315,,-0.7100315,
2020-10-01,10,-0.908216,,-0.908216,
2020-11-01,11,-1.011071,,-1.011071,
2020-12-01,12,-0.9427337,,-0.9427337,
2021-01-01,1,-0.8563632,,-0.8563632,
2021-02-01,2,-0.69328874,,-0.69328874,
2021-03-01,3,-0.5468073,,-0.5468073,
2021-04-01,4,-0.32621124,,,-0.32621124
2021-05-01,5,-0.12659061,,,-0.12659061
2021-06-01,6,-0.0085313525,,,-0.0085313525
2021-07-01,7,-0.026835551,,,-0.026835551
2021-08-01,8,-0.15446527,,,-0.15446527
2021-09-01,9,-0.3647159,,,-0.3647159
2021-10-01,10,-0.5256972,,-0.5256972,
2021-11-01,11,-0.7766225,,-0.7766225,
2021-12-01,12,-0.8031219,,-0.8031219,
2022-01-01,1,-0.78981626,,-0.78981626,
2022-02-01,2,-0.72602785,,-0.72602785,
2022-03-01,3,-0.74418926,,-0.74418926,
2022-04-01,4,-0.82710505,,-0.82710505,
2022-05-01,5,-0.7237832,,-0.7237832,
2022-06-01,6,-0.61832774,,-0.61832774,
2022-07-01,7,-0.6170102,,-0.6170102,
2022-08-01,8,-0.7533445,,-0.7533445,
2022-09-01,9,-0.82729596,,-0.82729596,
2022-10-01,10,-0.7837236,,-0.7837236,
2022-11-01,11,-0.7418987,,-0.7418987,
2022-12-01,12,-0.7041294,,-0.7041294,
2023-01-01,1,-0.5814846,,-0.5814846,
2023-02-01,2,-0.29709744,,,-0.29709744
2023-03-01,3,,,,
