,date,close,oni,close_std,oni_std,time,sst,sst_std
0,1997-04-01,1673.719970703125,0.28,-1.293130773924782,0.3574871366588806,1997-04-01,0.14569432,0.12091780325815808
1,1997-05-01,1758.77001953125,0.75,-1.2823295383704394,0.8759186924867661,1997-05-01,0.5770688,0.6353912542824811
2,1997-06-01,2128.389892578125,1.22,-1.2353883388137707,1.394350248314652,1997-06-01,1.0482044,1.1972853144791227
3,1997-07-01,2155.010009765625,1.6,-1.2320076216926383,1.813507676430815,1997-07-01,1.4631848,1.6922065682710807
4,1997-08-01,2052.6201171875,1.9,-1.2450109928059825,2.1444214354698907,1997-08-01,1.7648032,2.05192803148892
5,1997-09-01,1974.199951171875,2.14,-1.2549702426478861,2.4091524427011515,1997-09-01,1.9890659,2.3193921735610994
6,1997-10-01,2008.030029296875,2.33,-1.2506738707153036,2.6187311567592326,1997-10-01,2.1688623,2.5338241315891903
7,1997-11-01,1859.1400146484373,2.4,-1.2695826913693307,2.6959443672016836,1997-11-01,2.273624,2.6587668804837814
8,1997-12-01,1780.5400390625,2.39,-1.2795647767715972,2.684913908567048,1997-12-01,2.2860277,2.6735600002447613
9,1998-01-01,1792.7099609375,2.24,-1.2780192139569835,2.5194570290475102,1998-01-01,2.1149712,2.4695515761137323
10,1998-02-01,1624.6500244140625,1.93,-1.2993625874958497,2.1775128113737985,1998-02-01,1.8023777,2.0967407952980204
11,1998-03-01,1585.780029296875,1.44,-1.3042990217371202,1.6370203382766408,1998-03-01,1.301333,1.4991760160221428
12,1998-04-01,1705.8399658203125,0.99,-1.2890515801083717,1.140649699718027,1998-04-01,0.88884085,1.007222342891218
13,1998-05-01,1889.5,0.45,-1.265727016296512,0.5450049334476903,1998-05-01,0.22169575,0.21155997099808443
14,1998-06-01,1815.1199951171875,-0.13,-1.2751731714056755,-0.09476166736118993,1998-06-01,-0.38180733,-0.508200530994078
15,1998-07-01,1641.6400146484375,-0.78,-1.2972048828370515,-0.8117414786125212,1998-07-01,-0.9983326,-1.2434917872144333
16,1998-08-01,1714.739990234375,-1.12,-1.2879212896328194,-1.1867770721901405,1998-08-01,-1.1241709,-1.3935712830437508
17,1998-09-01,1265.530029296875,-1.31,-1.3449703174499368,-1.3963557862482219,1998-09-01,-1.1795672,-1.459638996727181
18,1998-10-01,1246.93994140625,-1.35,-1.3473312322412774,-1.4404776207867656,1998-10-01,-1.1741477,-1.4531754969211048
19,1998-11-01,1231.6199951171875,-1.48,-1.3492768436880438,-1.5838735830370316,1998-11-01,-1.3983377,-1.7205529342352985
20,1998-12-01,1581.5899658203125,-1.57,-1.3048311538548742,-1.6831477107487545,1998-12-01,-1.4889317,-1.8285987505341614
21,1999-01-01,1335.8800048828125,-1.55,-1.3360359703447218,-1.6610867934794826,1999-01-01,-1.4417434,-1.7723202067756827
22,1999-02-01,1320.550048828125,-1.3,-1.3379828530175233,-1.3853253276135862,1999-02-01,-1.1388073,-1.4110272049113874
23,1999-03-01,1417.949951171875,-1.07,-1.325613203585448,-1.1316247790169611,1999-03-01,-0.89997864,-1.126191150368442
24,1999-04-01,1470.280029296875,-0.98,-1.318967357895841,-1.0323506513052385,1999-04-01,-0.8039191,-1.011626925225571
25,1999-05-01,1644.2900390625,-1.02,-1.296868333495629,-1.076472485843782,1999-05-01,-0.8396158,-1.0542001540340529
26,1999-06-01,1647.449951171875,-1.04,-1.2964670291401976,-1.0985334031130538,1999-06-01,-0.8554923,-1.073135065865619
27,1999-07-01,1670.4100341796875,-1.1,-1.2935511311679837,-1.1647161549208689,1999-07-01,-0.9846207,-1.2271384588647811
28,1999-08-01,1649.5799560546875,-1.11,-1.296196521541576,-1.1757466135555048,1999-08-01,-1.0069766,-1.2538009471597646
29,1999-09-01,1653.5999755859375,-1.16,-1.2956859847636626,-1.230898906728684,1999-09-01,-1.0715194,-1.3307771212133912
30,1999-10-01,1854.6199951171875,-1.26,-1.2701567274379744,-1.3412034930750425,1999-10-01,-1.1794032,-1.459443404150708
31,1999-11-01,1793.739990234375,-1.46,-1.2778884016974172,-1.5618126657677598,1999-11-01,-1.381994,-1.701060822088316
32,1999-12-01,1820.02001953125,-1.65,-1.2745508752559664,-1.7713913798258412,1999-12-01,-1.5941639,-1.9541026354484516
33,2000-01-01,1835.5699462890625,-1.66,-1.272576056615905,-1.782421838460477,2000-01-01,-1.5935224,-1.9533375583886492
34,2000-02-01,1822.550048828125,-1.41,-1.274229565124209,-1.5066603725945804,2000-02-01,-1.4085196,-1.732696251640131
35,2000-03-01,1806.6800537109373,-1.07,-1.2762450319918814,-1.1316247790169611,2000-03-01,-1.077402,-1.3377929315204722
36,2000-04-01,1663.0699462890625,-0.81,-1.2944833119178905,-0.8448328545164289,2000-04-01,-0.85419196,-1.0715842314089654
37,2000-05-01,1626.7099609375,-0.71,-1.2991009784794738,-0.7345282681700701,2000-05-01,-0.6798868,-0.8637013330127814
38,2000-06-01,1461.68994140625,-0.64,-1.3200582868725736,-0.6573150577276191,2000-06-01,-0.63227826,-0.8069215952034665
39,2000-07-01,1486.7900390625,-0.55,-1.3168706100757028,-0.5580409300158964,2000-07-01,-0.49429354,-0.6423558214306998
40,2000-08-01,1355.800048828125,-0.51,-1.3335061530210306,-0.5139190954773528,2000-08-01,-0.48059392,-0.62601713867153
41,2000-09-01,1436.9200439453125,-0.55,-1.323204028713042,-0.5580409300158964,2000-09-01,-0.48430866,-0.6304474774979207
42,2000-10-01,1355.56005859375,-0.63,-1.3335366314403607,-0.6462845990929832,2000-10-01,-0.5972978,-0.7652025811936014
43,2000-11-01,1269.77001953125,-0.75,-1.3444318447047634,-0.7786501027086136,2000-11-01,-0.76953363,-0.9706175186978752
44,2000-12-01,1199.699951171875,-0.74,-1.3533306439892643,-0.7676196440739778,2000-12-01,-0.8023592,-1.0097665297375187
45,2001-01-01,1208.4100341796875,-0.68,-1.3522244758028665,-0.7014368922661626,2001-01-01,-0.72236216,-0.914359047031238
